Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
934 kg (116.75 kg),28 ans,28 ans,198 cm,England : 80% (12/15) South Africa : 7% (1/15) Scotland : 7% (1/15) Fiji : 7% (1/15),England : 61% (14/23) South Africa : 22% (5/23) Scotland : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Australia : 4% (1/23),Bath,914 kg (114.25 kg),26 ans,25 ans,201 cm,England : 80% (12/15) Australia : 20% (3/15),England : 74% (17/23) Australia : 13% (3/23) Scotland : 9% (2/23) South Africa : 4% (1/23),Northampton," Date :  Friday, September 20, 2024 Kick Off : 20:45 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,26_34_62_5,1.0,18,1.0,67,3.0,32_53_61,5.0,6_27_35_63_79,1.0,19,38 - 16
925 kg (115.63 kg),27 ans,25 ans,203 cm,England : 73% (11/15) South Africa : 7% (1/15) Scotland : 7% (1/15) New Zealand : 7% (1/15) Ireland : 7% (1/15),England : 74% (17/23) South Africa : 9% (2/23) Scotland : 9% (2/23) New Zealand : 4% (1/23) Ireland : 4% (1/23),Newcastle,899 kg (112.38 kg),29 ans,27 ans,200 cm,England : 67% (10/15) Samoa : 7% (1/15) New Zealand : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) Ireland : 9% (2/23) Samoa : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Argentina : 4% (1/23),Bristol," Date :  Friday, September 20, 2024 Kick Off : 20:45 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",0.0,,4.0,5_48_63_76,1.0,40,0.0,,0.0,,2.0,50_64,3 - 24
924 kg (115.50 kg),25 ans,25 ans,196 cm,England : 53% (8/15) Wales : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) Ireland : 7% (1/15),England : 57% (13/23) New Zealand : 9% (2/23) Ireland : 9% (2/23) Wales : 9% (2/23) Australia : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23) Congo : 4% (1/23),Exeter,954 kg (119.25 kg),29 ans,28 ans,200 cm,England : 60% (9/15) Wales : 13% (2/15) South Africa : 13% (2/15) Tonga : 7% (1/15) Australia : 7% (1/15),England : 52% (12/23) Wales : 13% (3/23) South Africa : 9% (2/23) Ireland : 9% (2/23) Tonga : 4% (1/23) Australia : 4% (1/23) France : 4% (1/23) Fiji : 4% (1/23),Leicester," Date :  Saturday, September 21, 2024 Kick Off : 16:05 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,47_57,2.0,63_81,0.0,,0.0,,2.0,49_58,2.0,64_82,14 - 17
911 kg (113.88 kg),27 ans,28 ans,198 cm,England : 60% (9/15) Argentina : 13% (2/15) Wales : 13% (2/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 65% (15/23) Argentina : 9% (2/23) Wales : 9% (2/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Russia : 4% (1/23) Ireland : 4% (1/23),Gloucester,926 kg (115.75 kg),25 ans,28 ans,198 cm,England : 73% (11/15) Wales : 7% (1/15) Italy : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 83% (19/23) Wales : 4% (1/23) Italy : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Saracens," Date :  Saturday, September 21, 2024 Kick Off : 18:30 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,41_77_56_71,5.0,41_60_23_16_34,0.0,,2.0,53_64,3.0,42_72_77,2.0,25_42,26 - 35
899 kg (112.38 kg),27 ans,26 ans,201 cm,England : 53% (8/15) South Africa : 27% (4/15) Scotland : 13% (2/15) Fiji : 7% (1/15),England : 70% (16/23) South Africa : 17% (4/23) Scotland : 9% (2/23) Fiji : 4% (1/23),Sale,914 kg (114.25 kg),28 ans,27 ans,201 cm,England : 67% (10/15) South Africa : 13% (2/15) Wales : 13% (2/15) United-States : 7% (1/15),England : 70% (16/23) South Africa : 17% (4/23) Wales : 9% (2/23) United-States : 4% (1/23),Harlequins," Date :  Sunday, September 22, 2024 Kick Off : 16:00 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",0.0,,1.0,32,4.0,17_28_41_74,2.0,38_70,0.0,,0.0,,12 - 11
899 kg (112.38 kg),28 ans,28 ans,200 cm,England : 67% (10/15) Samoa : 7% (1/15) New Zealand : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) Ireland : 9% (2/23) Samoa : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Argentina : 4% (1/23),Bristol,891 kg (111.38 kg),27 ans,27 ans,198 cm,England : 60% (9/15) Argentina : 13% (2/15) Wales : 13% (2/15) Russia : 7% (1/15) New Zealand : 7% (1/15),England : 61% (14/23) Argentina : 9% (2/23) Wales : 9% (2/23) Russia : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23),Gloucester," Date :  Friday, September 27, 2024 Kick Off : 20:45 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5.0,49_1_39_64_68,5.0,18_22_6_33_60,1.0,28,3.0,42_52_77,4.0,2_50_65_69,5.0,7_18_23_35_62,41 - 44
923 kg (115.38 kg),26 ans,28 ans,201 cm,England : 80% (12/15) United-States : 7% (1/15) South Africa : 7% (1/15) Wales : 7% (1/15),England : 70% (16/23) South Africa : 13% (3/23) Wales : 13% (3/23) United-States : 4% (1/23),Harlequins,921 kg (115.13 kg),29 ans,25 ans,203 cm,England : 67% (10/15) South Africa : 13% (2/15) Scotland : 7% (1/15) New Zealand : 7% (1/15) Ireland : 7% (1/15),England : 70% (16/23) South Africa : 13% (3/23) Scotland : 9% (2/23) New Zealand : 4% (1/23) Ireland : 4% (1/23),Newcastle," Date :  Saturday, September 28, 2024 Kick Off : 16:00 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,14_23_41_31,2.0,4_63,0.0,,0.0,,4.0,16_24_33_41,2.0,5_65,28 - 14
918 kg (114.75 kg),26 ans,28 ans,198 cm,England : 73% (11/15) Wales : 7% (1/15) Italy : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 78% (18/23) Wales : 4% (1/23) Italy : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Samoa : 4% (1/23),Saracens,907 kg (113.38 kg),27 ans,27 ans,207 cm,England : 67% (10/15) South Africa : 20% (3/15) Scotland : 7% (1/15) Fiji : 7% (1/15),England : 78% (18/23) South Africa : 13% (3/23) Scotland : 4% (1/23) Fiji : 4% (1/23),Sale," Date :  Saturday, September 28, 2024 Kick Off : 16:05 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,52_63_85_70,3.0,61_20_79,7.0,10_27_36_43_46_73_24,3.0,2_43_55,2.0,53_86,1.0,21,45 - 26
927 kg (115.88 kg),26 ans,25 ans,207 cm,England : 80% (12/15) Australia : 13% (2/15) South Africa : 7% (1/15),England : 78% (18/23) Australia : 13% (3/23) South Africa : 4% (1/23) Scotland : 4% (1/23),Northampton,929 kg (116.13 kg),25 ans,25 ans,198 cm,England : 53% (8/15) Wales : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) Congo : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15),England : 61% (14/23) Wales : 9% (2/23) Ireland : 9% (2/23) Australia : 4% (1/23) Fiji : 4% (1/23) Congo : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23),Exeter," Date :  Saturday, September 28, 2024 Kick Off : 18:30 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,44_8_48,3.0,35_68_76,2.0,12_28,1.0,42,3.0,9_44_49,3.0,36_69_77,30 - 24
940 kg (117.50 kg),28 ans,29 ans,198 cm,England : 60% (9/15) Wales : 20% (3/15) South Africa : 7% (1/15) Ireland : 7% (1/15) Australia : 7% (1/15),England : 57% (13/23) Wales : 13% (3/23) South Africa : 9% (2/23) Ireland : 9% (2/23) Australia : 4% (1/23) France : 4% (1/23) Fiji : 4% (1/23),Leicester,929 kg (116.13 kg),28 ans,27 ans,198 cm,England : 73% (11/15) South Africa : 7% (1/15) Ireland : 7% (1/15) Scotland : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) South Africa : 13% (3/23) Ireland : 9% (2/23) Scotland : 4% (1/23) Fiji : 4% (1/23),Bath," Date :  Sunday, September 29, 2024 Kick Off : 16:00 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,33_78,3.0,63_21_46,1.0,20,1.0,74,1.0,34,1.0,64,15 - 20
