Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home JIFF players  ( read JIFF study in Top 14 ),Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away JIFF players  ( read JIFF study in Top 14 ),Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
957 kg (119.63 kg),29 ans,26 ans,203 cm,France : 53% (8/15) Argentina : 20% (3/15) Tonga : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 61% (14/23) Argentina : 13% (3/23) Fiji : 9% (2/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23) Germany : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bayonne,938 kg (117.25 kg),29 ans,28 ans,202 cm,France : 27% (4/15) Samoa : 13% (2/15) Italy : 13% (2/15) South Africa : 13% (2/15) Fiji : 13% (2/15) Australia : 7% (1/15) England : 7% (1/15) Argentina : 7% (1/15),France : 39% (9/23) Samoa : 13% (3/23) Fiji : 13% (3/23) Italy : 9% (2/23) South Africa : 9% (2/23) England : 9% (2/23) Australia : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 8 / 15 (53 %)  PRO NON-JIFF PLAYER : 7 / 15 (47 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Perpignan," Date :  Saturday, September 7, 2024 Kick Off : 14:30 Venue : Stade Jean Dauger Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,36_12,1.0,7,3.0,46_60_76,4.0,18_23_27_42,1.0,13,1.0,8,21 - 19
899 kg (112.38 kg),29 ans,28 ans,204 cm,France : 60% (9/15) Fiji : 13% (2/15) Moldova : 7% (1/15) Australia : 7% (1/15) Samoa : 7% (1/15) Argentina : 7% (1/15),France : 61% (14/23) Australia : 9% (2/23) Fiji : 9% (2/23) Moldova : 4% (1/23) Samoa : 4% (1/23) Argentina : 4% (1/23) Georgia : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Clermont,913 kg (114.13 kg),27 ans,26 ans,204 cm,France : 67% (10/15) Georgia : 13% (2/15) England : 13% (2/15) Argentina : 7% (1/15),France : 65% (15/23) Georgia : 9% (2/23) England : 9% (2/23) Argentina : 4% (1/23) Fiji : 4% (1/23) Samoa : 4% (1/23) Spain : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 20 / 23 (87%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Pau," Date :  Saturday, September 7, 2024 Kick Off : 16:30 Venue : Stade Marcel Michelin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,44_36_52_75,1.0,30,2.0,5_59,0.0,,3.0,37_45_53,1.0,31,39 - 7
939 kg (117.38 kg),31 ans,28 ans,205 cm,France : 60% (9/15) New Zealand : 13% (2/15) England : 7% (1/15) Fiji : 7% (1/15) Canada : 7% (1/15) Cameroon : 7% (1/15),France : 65% (15/23) Fiji : 9% (2/23) New Zealand : 9% (2/23) England : 4% (1/23) Canada : 4% (1/23) Cameroon : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres,956 kg (119.50 kg),27 ans,26 ans,204 cm,France : 53% (8/15) England : 33% (5/15) Georgia : 7% (1/15) Fiji : 7% (1/15),France : 61% (14/23) England : 26% (6/23) Georgia : 9% (2/23) Fiji : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 2 / 15 (13 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 2 / 23 (9 %),Racing 92," Date :  Saturday, September 7, 2024 Kick Off : 16:30 Venue : Stade Pierre Fabre Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,20_51_79,4.0,27_10_77_72,4.0,8_38_57_70,0.0,,2.0,21_52,4.0,11_28_73_78,31 - 28
958 kg (119.75 kg),27 ans,27 ans,196 cm,France : 73% (11/15) Canada : 7% (1/15) Australia : 7% (1/15) Congo : 7% (1/15) Scotland : 7% (1/15),France : 74% (17/23) Canada : 4% (1/23) Australia : 4% (1/23) Congo : 4% (1/23) Scotland : 4% (1/23) Georgia : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Montpellier,878 kg (109.75 kg),28 ans,26 ans,197 cm,France : 53% (8/15) Georgia : 20% (3/15) Fiji : 7% (1/15) Portugal : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15),France : 61% (14/23) Georgia : 13% (3/23) New Zealand : 9% (2/23) Fiji : 4% (1/23) Portugal : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Lyon," Date :  Saturday, September 7, 2024 Kick Off : 16:30 Venue : GGL Stadium Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,18_14_63,1.0,8,1.0,43,4.0,23_45_48_51,2.0,15_19,1.0,9,22 - 26
921 kg (115.13 kg),26 ans,27 ans,198 cm,France : 87% (13/15) South Africa : 7% (1/15) Australia : 7% (1/15),France : 87% (20/23) South Africa : 4% (1/23) Australia : 4% (1/23) Scotland : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 20 / 23 (87%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bordeaux,934 kg (116.75 kg),27 ans,27 ans,200 cm,France : 60% (9/15) South Africa : 13% (2/15) Georgia : 7% (1/15) Australia : 7% (1/15) Spain : 7% (1/15) England : 7% (1/15),France : 52% (12/23) Georgia : 9% (2/23) Australia : 9% (2/23) South Africa : 9% (2/23) England : 9% (2/23) Spain : 4% (1/23) Italy : 4% (1/23) New Zealand : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Paris," Date :  Saturday, September 7, 2024 Kick Off : 21:05 Venue : Stade Chaban-Delmas Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",6.0,18_38_74_34_8_71,4.0,48_30_57_81,2.0,50_64,0.0,,5.0,9_19_35_39_72,3.0,49_58_82,46 - 26
933 kg (116.63 kg),27 ans,29 ans,203 cm,France : 53% (8/15) New Zealand : 20% (3/15) Georgia : 7% (1/15) Australia : 7% (1/15) England : 7% (1/15) South Africa : 7% (1/15),France : 61% (14/23) New Zealand : 13% (3/23) Australia : 9% (2/23) Georgia : 4% (1/23) England : 4% (1/23) South Africa : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),La Rochelle,909 kg (113.63 kg),28 ans,28 ans,202 cm,France : 53% (8/15) England : 13% (2/15) Cameroon : 7% (1/15) South Africa : 7% (1/15) Wales : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),France : 57% (13/23) England : 9% (2/23) Cameroon : 4% (1/23) South Africa : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) Ireland : 4% (1/23) Samoa : 4% (1/23) Fiji : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulon," Date :  Sunday, September 8, 2024 Kick Off : 17:00 Venue : Stade Marcel-Deflandre Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,18_52,2.0,47_76,0.0,,1.0,11,2.0,19_53,1.0,77,19 - 15
944 kg (118.00 kg),33 ans,29 ans,200 cm,New Zealand : 40% (6/15) France : 27% (4/15) Argentina : 13% (2/15) Namibia : 7% (1/15) Tonga : 7% (1/15) Fiji : 7% (1/15),France : 43% (10/23) New Zealand : 26% (6/23) Argentina : 9% (2/23) Fiji : 9% (2/23) Namibia : 4% (1/23) Tonga : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 4 / 15 (27 %)  PRO NON-JIFF PLAYER : 11 / 15 (73 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 12 / 23 (52%)  PRO NON-JIFF PLAYER : 11 / 23 (48 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Vannes,920 kg (115.00 kg),28 ans,25 ans,203 cm,France : 73% (11/15) Ireland : 7% (1/15) England : 7% (1/15) New Zealand : 7% (1/15) Scotland : 7% (1/15),France : 70% (16/23) Ireland : 4% (1/23) England : 4% (1/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) Australia : 4% (1/23) Japan : 4% (1/23) United-States : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulouse," Date :  Sunday, September 8, 2024 Kick Off : 21:05 Venue : Stade de la Rabine Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,53_66,4.0,29_76_3_61,2.0,7_15,4.0,11_18_22_43,1.0,54,3.0,4_30_62,18 - 43
917 kg (114.63 kg),28 ans,27 ans,199 cm,France : 73% (11/15) Tonga : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15) South Africa : 7% (1/15),France : 61% (14/23) South Africa : 9% (2/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23) Italy : 4% (1/23) Australia : 4% (1/23) Spain : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Paris,950 kg (118.75 kg),33 ans,29 ans,200 cm,France : 47% (7/15) New Zealand : 27% (4/15) Namibia : 7% (1/15) Argentina : 7% (1/15) Tonga : 7% (1/15) Fiji : 7% (1/15),France : 48% (11/23) New Zealand : 22% (5/23) Argentina : 9% (2/23) Fiji : 9% (2/23) Namibia : 4% (1/23) Tonga : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 7 / 15 (47 %)  PRO NON-JIFF PLAYER : 8 / 15 (53 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 23 (57%)  PRO NON-JIFF PLAYER : 10 / 23 (43 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Vannes," Date :  Saturday, September 14, 2024 Kick Off : 14:30 Venue : Stade Jean Bouin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",5.0,21_31_42_8_4,5.0,26_52_43_78_50,1.0,74,0.0,,3.0,22_32_43,3.0,51_53_79,34 - 31
914 kg (114.25 kg),28 ans,27 ans,202 cm,France : 60% (9/15) England : 13% (2/15) South Africa : 7% (1/15) Samoa : 7% (1/15) Italy : 7% (1/15) Tonga : 7% (1/15),France : 65% (15/23) England : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Italy : 4% (1/23) Tonga : 4% (1/23) Cameroon : 4% (1/23) Fiji : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulon,916 kg (114.50 kg),29 ans,26 ans,205 cm,France : 67% (10/15) New Zealand : 13% (2/15) England : 7% (1/15) Canada : 7% (1/15) Fiji : 7% (1/15),France : 65% (15/23) New Zealand : 9% (2/23) Fiji : 9% (2/23) England : 4% (1/23) Canada : 4% (1/23) Uruguay : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres," Date :  Saturday, September 14, 2024 Kick Off : 14:30 Venue : Stade Mayol Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,56_25_79,3.0,39_43_7,3.0,19_41_60,3.0,34_52_71,3.0,26_57_80,2.0,8_40,30 - 28
944 kg (118.00 kg),27 ans,28 ans,203 cm,France : 47% (7/15) England : 33% (5/15) Georgia : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 52% (12/23) England : 22% (5/23) Georgia : 9% (2/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Racing 92,902 kg (112.75 kg),27 ans,26 ans,198 cm,France : 80% (12/15) Australia : 7% (1/15) Moldova : 7% (1/15) Fiji : 7% (1/15),France : 74% (17/23) Fiji : 9% (2/23) Australia : 4% (1/23) Moldova : 4% (1/23) Georgia : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 20 / 23 (87%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Clermont," Date :  Saturday, September 14, 2024 Kick Off : 16:30 Venue : Stade Dominique Duvauchelle Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,6_69_63_66,2.0,35_61,3.0,30_41_45,2.0,11_17,2.0,7_70,2.0,36_62,33 - 20
