home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
924 kg (115.50 kg),26 ans,26 ans,198 cm,Italy : 87% (13/15) England : 7% (1/15) Samoa : 7% (1/15),Italy : 91% (21/23) England : 4% (1/23) Samoa : 4% (1/23),Zebre,919 kg (114.88 kg),27 ans,25 ans,199 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 91% (21/23) Congo : 4% (1/23) Namibia : 4% (1/23),Lions,Stadio Sergio Lanfranchi,"Friday, September 24, 2021",18:35,4,2,0,1,5,5,1,0,51_61_64_57,51_62,,57,32_19_21_15_10,11_16_19_22_33,42,,26 - 38
929 kg (116.13 kg),28 ans,27 ans,203 cm,Wales : 80% (12/15) Moldova : 7% (1/15) Tonga : 7% (1/15) Samoa : 7% (1/15),Wales : 87% (20/23) Moldova : 4% (1/23) Tonga : 4% (1/23) Samoa : 4% (1/23),Cardiff,892 kg (111.50 kg),26 ans,26 ans,198 cm,Ireland : 73% (11/15) Australia : 20% (3/15) New Zealand : 7% (1/15),Ireland : 78% (18/23) Australia : 13% (3/23) New Zealand : 9% (2/23),Connacht,Cardiff Arms Park,"Friday, September 24, 2021",20:35,5,4,0,0,2,1,3,0,38_50_69_9_73,40_51_70_10,,,12_80,13,3_36_57,,33 - 21
906 kg (113.25 kg),29 ans,26 ans,201 cm,Ireland : 73% (11/15) South Africa : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 74% (17/23) South Africa : 9% (2/23) England : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Ulster,912 kg (114.00 kg),28 ans,26 ans,205 cm,Scotland : 40% (6/15) Australia : 20% (3/15) New Zealand : 13% (2/15) Wales : 7% (1/15) England : 7% (1/15) United-States : 7% (1/15) South Africa : 7% (1/15),Scotland : 52% (12/23) England : 13% (3/23) Australia : 13% (3/23) New Zealand : 9% (2/23) Wales : 4% (1/23) United-States : 4% (1/23) South Africa : 4% (1/23),Glasgow,Kingspan Stadium,"Friday, September 24, 2021",20:35,5,4,0,1,4,2,1,1,22_43_48_58_3,23_44_49_60,,3,42_14_64_54,44_65,26,54,35 - 29
909 kg (113.63 kg),24 ans,26 ans,200 cm,Italy : 47% (7/15) Argentina : 20% (3/15) South Africa : 20% (3/15) Australia : 7% (1/15) Fiji : 7% (1/15),Italy : 57% (13/23) Argentina : 17% (4/23) South Africa : 13% (3/23) Australia : 4% (1/23) Fiji : 4% (1/23) England : 4% (1/23),Benetton,903 kg (112.88 kg),27 ans,25 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,Stadio Comunale di Monigo,"Saturday, September 25, 2021",14:00,3,2,1,0,2,1,2,0,15_58_70,16_59,62,,1_43,44,22_37,,22 - 18
920 kg (115.00 kg),26 ans,27 ans,201 cm,Ireland : 87% (13/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) New Zealand : 9% (2/23) Australia : 4% (1/23),Leinster,934 kg (116.75 kg),27 ans,26 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,Aviva Stadium,"Saturday, September 25, 2021",18:15,4,4,1,0,0,0,1,0,12_6_56_69,8_13_58_71,4,,,,22,,31 - 3
950 kg (118.75 kg),28 ans,26 ans,200 cm,Scotland : 60% (9/15) South Africa : 13% (2/15) Fiji : 13% (2/15) England : 13% (2/15),Scotland : 57% (13/23) South Africa : 22% (5/23) England : 13% (3/23) Fiji : 9% (2/23),Edinburgh,906 kg (113.25 kg),29 ans,27 ans,203 cm,Wales : 73% (11/15) New Zealand : 13% (2/15) England : 7% (1/15) Tonga : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) New Zealand : 9% (2/23) Tonga : 4% (1/23),Scarlets,DAM Health Stadium,"Saturday, September 25, 2021",18:15,4,3,0,0,3,2,1,0,24_33_38_57,25_34_58,,,50_11_65,51_66,36,,26 - 22
907 kg (113.38 kg),28 ans,25 ans,203 cm,Ireland : 80% (12/15) South Africa : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 74% (17/23) South Africa : 17% (4/23) New Zealand : 4% (1/23) England : 4% (1/23),Munster,946 kg (118.25 kg),26 ans,24 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,Thomond Park,"Saturday, September 25, 2021",20:35,6,3,2,0,2,2,1,0,43_50_35_5_78_76,44_51_78,28_68,,56_69,56_70,31,,42 - 17
910 kg (113.75 kg),26 ans,27 ans,203 cm,Wales : 60% (9/15) England : 27% (4/15) New Zealand : 7% (1/15) Fiji : 7% (1/15),Wales : 65% (15/23) England : 26% (6/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Dragons,909 kg (113.63 kg),26 ans,27 ans,198 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) England : 7% (1/15),Wales : 74% (17/23) New Zealand : 13% (3/23) England : 4% (1/23) Tonga : 4% (1/23) South Africa : 4% (1/23),Ospreys,Rodney Parade,"Sunday, September 26, 2021",15:00,2,2,2,0,3,3,2,0,3_76,5_76,11_20,,61_17_51,18_52_63,28_43,,23 - 27
923 kg (115.38 kg),27 ans,27 ans,203 cm,Wales : 67% (10/15) England : 13% (2/15) New Zealand : 13% (2/15) Tonga : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) New Zealand : 9% (2/23) Tonga : 4% (1/23),Scarlets,919 kg (114.88 kg),27 ans,25 ans,199 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 91% (21/23) Congo : 4% (1/23) Namibia : 4% (1/23),Lions,Parc y Scarlets,"Friday, October 1, 2021",20:35,4,2,4,0,1,1,2,0,4_78_18_69,5_19,28_38_62_66,,59,60,13_32,,36 - 13
916 kg (114.50 kg),27 ans,27 ans,198 cm,Ireland : 67% (10/15) Australia : 20% (3/15) New Zealand : 13% (2/15),Ireland : 74% (17/23) Australia : 13% (3/23) New Zealand : 9% (2/23) Tonga : 4% (1/23),Connacht,929 kg (116.13 kg),27 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,The Sportsground,"Friday, October 1, 2021",20:35,5,3,1,0,1,1,0,0,48_44_80_71_15,16_45_72,33,,1,2,,,34 - 7
893 kg (111.63 kg),25 ans,26 ans,200 cm,Italy : 47% (7/15) Argentina : 20% (3/15) South Africa : 20% (3/15) Australia : 7% (1/15) Fiji : 7% (1/15),Italy : 57% (13/23) Argentina : 17% (4/23) South Africa : 13% (3/23) Australia : 4% (1/23) Fiji : 4% (1/23) England : 4% (1/23),Benetton,912 kg (114.00 kg),27 ans,27 ans,198 cm,Scotland : 53% (8/15) South Africa : 27% (4/15) England : 13% (2/15) Fiji : 7% (1/15),Scotland : 52% (12/23) South Africa : 22% (5/23) England : 13% (3/23) Fiji : 9% (2/23) Argentina : 4% (1/23),Edinburgh,Stadio Comunale di Monigo,"Saturday, October 2, 2021",14:00,3,2,2,0,4,2,1,0,4_70_32,34_72,21_57,,49_16_24_28,17_25,74,,28 - 27
927 kg (115.88 kg),28 ans,25 ans,205 cm,Scotland : 53% (8/15) Australia : 20% (3/15) New Zealand : 13% (2/15) United-States : 7% (1/15) South Africa : 7% (1/15),Scotland : 61% (14/23) Australia : 13% (3/23) New Zealand : 9% (2/23) United-States : 4% (1/23) South Africa : 4% (1/23) Wales : 4% (1/23) England : 4% (1/23),Glasgow,965 kg (120.63 kg),25 ans,27 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,Scotstoun Stadium,"Saturday, October 2, 2021",16:05,5,5,0,0,3,3,1,0,19_13_1_35_42,2_13_20_37_43,,,56_25_74,74_25_57,40,,35 - 24
936 kg (117.00 kg),26 ans,26 ans,198 cm,Italy : 73% (11/15) Samoa : 13% (2/15) England : 7% (1/15) Fiji : 7% (1/15),Italy : 83% (19/23) Samoa : 9% (2/23) England : 4% (1/23) Fiji : 4% (1/23),Zebre,911 kg (113.88 kg),27 ans,26 ans,197 cm,Ireland : 80% (12/15) England : 13% (2/15) South Africa : 7% (1/15),Ireland : 74% (17/23) South Africa : 9% (2/23) England : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Ulster,Stadio Sergio Lanfranchi,"Saturday, October 2, 2021",18:15,0,0,1,0,6,3,0,0,,,33,,62_78_20_40_57_45,63_46_79,,,3 - 36
909 kg (113.63 kg),26 ans,27 ans,198 cm,Wales : 73% (11/15) England : 13% (2/15) New Zealand : 13% (2/15),Wales : 70% (16/23) New Zealand : 13% (3/23) England : 9% (2/23) Tonga : 4% (1/23) South Africa : 4% (1/23),Ospreys,938 kg (117.25 kg),27 ans,28 ans,203 cm,Wales : 87% (13/15) Tonga : 7% (1/15) Samoa : 7% (1/15),Wales : 87% (20/23) Tonga : 4% (1/23) Samoa : 4% (1/23) Moldova : 4% (1/23),Cardiff,Swansea.com Stadium,"Saturday, October 2, 2021",20:35,0,0,6,0,2,2,0,0,,,1_14_27_37_51_63,,17_44,18_45,,,18 - 14
901 kg (112.63 kg),27 ans,26 ans,203 cm,Ireland : 73% (11/15) South Africa : 13% (2/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) South Africa : 13% (3/23) New Zealand : 4% (1/23) England : 4% (1/23),Munster,915 kg (114.38 kg),27 ans,25 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,Thomond Park,"Saturday, October 2, 2021",20:35,5,3,1,0,2,1,2,0,50_46_40_55_67,41_46_68,80,,19_8,21,29_65,,34 - 18
908 kg (113.50 kg),26 ans,26 ans,203 cm,Wales : 60% (9/15) England : 27% (4/15) New Zealand : 7% (1/15) Fiji : 7% (1/15),Wales : 65% (15/23) England : 26% (6/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Dragons,924 kg (115.50 kg),27 ans,26 ans,201 cm,Ireland : 87% (13/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Ireland : 91% (21/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Leinster,Rodney Parade,"Sunday, October 3, 2021",15:00,0,0,2,0,1,1,0,0,,,62_65,,12,14,,,6 - 7
909 kg (113.63 kg),28 ans,25 ans,201 cm,Ireland : 73% (11/15) England : 13% (2/15) South Africa : 7% (1/15) Australia : 7% (1/15),Ireland : 74% (17/23) South Africa : 9% (2/23) England : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Ulster,899 kg (112.38 kg),27 ans,26 ans,200 cm,Italy : 53% (8/15) South Africa : 27% (4/15) Argentina : 7% (1/15) England : 7% (1/15) Fiji : 7% (1/15),Italy : 65% (15/23) South Africa : 17% (4/23) Argentina : 9% (2/23) England : 4% (1/23) Fiji : 4% (1/23),Benetton,Kingspan Stadium,"Friday, October 8, 2021",20:35,4,4,0,0,1,0,1,0,33_26_77_22,23_27_34_78,,,58,,7,,28 - 8
898 kg (112.25 kg),27 ans,28 ans,203 cm,Wales : 87% (13/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Wales : 74% (17/23) New Zealand : 9% (2/23) Tonga : 9% (2/23) South Africa : 4% (1/23) England : 4% (1/23),Ospreys,918 kg (114.75 kg),26 ans,26 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,Swansea.com Stadium,"Friday, October 8, 2021",20:35,1,1,2,0,2,1,2,0,73,74,2_16,,41_58,42,67_77,,13 - 27
910 kg (113.75 kg),29 ans,26 ans,211 cm,Ireland : 93% (14/15) Australia : 7% (1/15),Ireland : 96% (22/23) Australia : 4% (1/23),Leinster,893 kg (111.63 kg),24 ans,25 ans,202 cm,Italy : 87% (13/15) Romania : 7% (1/15) South Africa : 7% (1/15),Italy : 87% (20/23) Romania : 4% (1/23) South Africa : 4% (1/23) England : 4% (1/23),Zebre,RDS Arena,"Saturday, October 9, 2021",14:00,7,4,0,0,1,1,0,0,42_45_1_12_38_48_63,43_46_49_64,,,66,67,,,43 - 7
939 kg (117.38 kg),28 ans,25 ans,205 cm,Scotland : 53% (8/15) Australia : 13% (2/15) New Zealand : 13% (2/15) England : 7% (1/15) United-States : 7% (1/15) South Africa : 7% (1/15),Scotland : 52% (12/23) England : 13% (3/23) Australia : 13% (3/23) New Zealand : 9% (2/23) United-States : 4% (1/23) South Africa : 4% (1/23) Wales : 4% (1/23),Glasgow,908 kg (113.50 kg),28 ans,24 ans,199 cm,South Africa : 87% (13/15) Congo : 7% (1/15) Namibia : 7% (1/15),South Africa : 91% (21/23) Congo : 4% (1/23) Namibia : 4% (1/23),Lions,Scotstoun Stadium,"Saturday, October 9, 2021",16:05,1,1,2,0,0,0,3,0,2,2,15_71,,,,5_27_42,,13 - 9
896 kg (112.00 kg),26 ans,26 ans,198 cm,Ireland : 73% (11/15) Australia : 20% (3/15) New Zealand : 7% (1/15),Ireland : 78% (18/23) Australia : 13% (3/23) New Zealand : 4% (1/23) Tonga : 4% (1/23),Connacht,904 kg (113.00 kg),27 ans,26 ans,203 cm,Wales : 60% (9/15) England : 33% (5/15) Fiji : 7% (1/15),Wales : 65% (15/23) England : 22% (5/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) Argentina : 4% (1/23),Dragons,The Sportsground,"Saturday, October 9, 2021",18:15,2,0,4,0,4,3,3,0,58_71,,2_13_30_33,,51_26_64_46,47_52_65,17_61_74,,22 - 35
941 kg (117.63 kg),27 ans,26 ans,200 cm,Scotland : 40% (6/15) South Africa : 27% (4/15) England : 20% (3/15) Fiji : 7% (1/15) Argentina : 7% (1/15),Scotland : 48% (11/23) South Africa : 26% (6/23) England : 13% (3/23) Fiji : 4% (1/23) Argentina : 4% (1/23) Ireland : 4% (1/23),Edinburgh,906 kg (113.25 kg),27 ans,25 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,The DAM Health Stadium,"Saturday, October 9, 2021",18:15,2,2,2,0,2,2,2,0,5_2,3_7,28_35,,32_8,9_33,12_38,,20 - 20
926 kg (115.75 kg),27 ans,28 ans,203 cm,Wales : 87% (13/15) Moldova : 7% (1/15) Samoa : 7% (1/15),Wales : 87% (20/23) Moldova : 4% (1/23) Samoa : 4% (1/23) Tonga : 4% (1/23),Cardiff,933 kg (116.63 kg),28 ans,26 ans,201 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,Cardiff Arms Park,"Saturday, October 9, 2021",20:35,1,1,4,0,2,2,5,0,17,18,4_10_33_72,,42_60,43_60,25_48_63_71_76,,19 - 29
897 kg (112.13 kg),30 ans,27 ans,198 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) Tonga : 7% (1/15),Wales : 74% (17/23) England : 13% (3/23) New Zealand : 9% (2/23) Tonga : 4% (1/23),Scarlets,886 kg (110.75 kg),26 ans,25 ans,206 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Ireland : 87% (20/23) South Africa : 9% (2/23) England : 4% (1/23),Munster,Parc y Scarlets,"Sunday, October 10, 2021",15:00,1,1,2,0,6,5,1,0,28,29,16_33,,43_61_3_22_58_35,4_24_44_59_63,10,,13 - 43
909 kg (113.63 kg),28 ans,25 ans,201 cm,Ireland : 73% (11/15) England : 13% (2/15) South Africa : 7% (1/15) Australia : 7% (1/15),Ireland : 70% (16/23) England : 13% (3/23) South Africa : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Ulster,925 kg (115.63 kg),24 ans,25 ans,202 cm,South Africa : 87% (13/15) Congo : 7% (1/15) Namibia : 7% (1/15),South Africa : 87% (20/23) Congo : 9% (2/23) Namibia : 4% (1/23),Lions,Kingspan Stadium,"Friday, October 15, 2021",20:35,4,3,0,0,1,1,1,0,47_3_66_34,35_48_67,,,16,17,39,,26 - 10
