Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
905 kg (113.13 kg),27 ans,27 ans,201 cm,Wales : 67% (10/15) England : 27% (4/15) Samoa : 7% (1/15),Wales : 61% (14/23) England : 22% (5/23) South Africa : 9% (2/23) Samoa : 4% (1/23) Ireland : 4% (1/23),Cardiff,914 kg (114.25 kg),25 ans,25 ans,198 cm,Italy : 80% (12/15) Serbia : 7% (1/15) Wales : 7% (1/15) Argentina : 7% (1/15),Italy : 78% (18/23) Argentina : 13% (3/23) Serbia : 4% (1/23) Wales : 4% (1/23),Zebre," Date :  Friday, September 20, 2024 Kick Off : 20:35 Venue : Cardiff Arms Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,56_23_18_9,2.0,81_64,0.0,,1.0,8,1.0,10,2.0,65_82,22 - 17
915 kg (114.38 kg),29 ans,27 ans,200 cm,Scotland : 47% (7/15) England : 27% (4/15) South Africa : 20% (3/15) Australia : 7% (1/15),Scotland : 48% (11/23) England : 22% (5/23) South Africa : 17% (4/23) Australia : 4% (1/23) Canada : 4% (1/23) Ireland : 4% (1/23),Edinburgh,898 kg (112.25 kg),25 ans,27 ans,201 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) France : 4% (1/23),Leinster," Date :  Friday, September 20, 2024 Kick Off : 20:35 Venue : Hive Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",5.0,11_42_32_66_80,5.0,56_53_46_26_15,0.0,,0.0,,3.0,11_43_81,4.0,27_47_54_58,31 - 33
918 kg (114.75 kg),26 ans,27 ans,198 cm,Wales : 87% (13/15) Argentina : 7% (1/15) England : 7% (1/15),Wales : 87% (20/23) Argentina : 4% (1/23) England : 4% (1/23) Australia : 4% (1/23),Dragons,898 kg (112.25 kg),29 ans,23 ans,203 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Australia : 7% (1/15),Wales : 83% (19/23) South Africa : 4% (1/23) Australia : 4% (1/23) Fiji : 4% (1/23) England : 4% (1/23),Ospreys," Date :  Saturday, September 21, 2024 Kick Off : 16:00 Venue : Rodney Parade Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,26_83,2.0,45_19,3.0,1_23_78,3.0,7_33_37,2.0,27_85,1.0,20,23 - 21
904 kg (113.00 kg),27 ans,27 ans,203 cm,Ireland : 67% (10/15) South Africa : 13% (2/15) England : 13% (2/15) New Zealand : 7% (1/15),Ireland : 78% (18/23) South Africa : 9% (2/23) England : 9% (2/23) New Zealand : 4% (1/23),Munster,899 kg (112.38 kg),28 ans,26 ans,201 cm,Ireland : 60% (9/15) England : 13% (2/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15) Argentina : 7% (1/15),Ireland : 65% (15/23) New Zealand : 13% (3/23) England : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23),Connacht," Date :  Saturday, September 21, 2024 Kick Off : 18:30 Venue : Thomond Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",5.0,44_58_69_28_31,5.0,20_39_13_63_53,0.0,,0.0,,5.0,28_32_45_59_70,4.0,21_54_64_40,35 - 33
914 kg (114.25 kg),28 ans,26 ans,201 cm,Italy : 27% (4/15) Tonga : 13% (2/15) New Zealand : 13% (2/15) England : 13% (2/15) Argentina : 7% (1/15) Zimbabwe : 7% (1/15) Fiji : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),Italy : 43% (10/23) England : 13% (3/23) Tonga : 9% (2/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) Zimbabwe : 4% (1/23) Fiji : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Nigeria : 4% (1/23),Benetton,910 kg (113.75 kg),26 ans,22 ans,201 cm,Wales : 40% (6/15) South Africa : 13% (2/15) New Zealand : 13% (2/15) England : 13% (2/15) Scotland : 7% (1/15) Australia : 7% (1/15) Tonga : 7% (1/15),Wales : 52% (12/23) England : 17% (4/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Scotland : 4% (1/23) Australia : 4% (1/23) Tonga : 4% (1/23),Scarlets," Date :  Saturday, September 21, 2024 Kick Off : 20:35 Venue : Stadio Comunale di Monigo Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,21_78_31,2.0,53_40,1.0,48,2.0,60_67,1.0,32,2.0,41_53,20 - 20
895 kg (111.88 kg),27 ans,25 ans,199 cm,Ireland : 87% (13/15) England : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) England : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23),Ulster,923 kg (115.38 kg),29 ans,25 ans,205 cm,Scotland : 47% (7/15) Australia : 13% (2/15) South Africa : 13% (2/15) New Zealand : 13% (2/15) England : 7% (1/15) Argentina : 7% (1/15),Scotland : 61% (14/23) South Africa : 13% (3/23) Australia : 9% (2/23) New Zealand : 9% (2/23) England : 4% (1/23) Argentina : 4% (1/23),Glasgow," Date :  Saturday, September 21, 2024 Kick Off : 20:45 Venue : Kingspan Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,72_18_84,3.0,5_25_74,1.0,16,0.0,,1.0,19,2.0,26_75,20 - 19
,,,,,,0,,,,,,,2," Date :  Saturday, February 1, 2025 Kick Off : 00:00 Venue : Hollywoodbets Kings Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
,,,,,,0,,,,,,,2," Date :  Saturday, February 1, 2025 Kick Off : 00:00 Venue : DHL Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,12:00 AM
902 kg (112.75 kg),28 ans,26 ans,201 cm,Ireland : 100% (15/15),Ireland : 96% (22/23) France : 4% (1/23),Leinster,920 kg (115.00 kg),25 ans,26 ans,198 cm,Wales : 80% (12/15) Argentina : 7% (1/15) England : 7% (1/15) Australia : 7% (1/15),Wales : 87% (20/23) Argentina : 4% (1/23) England : 4% (1/23) Australia : 4% (1/23),Dragons," Date :  Friday, September 27, 2024 Kick Off : 20:35 Venue : Aviva Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",6.0,46_17_37_67_64_81,0.0,,0.0,,2.0,25_40,2.0,47_65,0.0,,34 - 6
931 kg (116.38 kg),26 ans,28 ans,205 cm,Scotland : 67% (10/15) South Africa : 13% (2/15) New Zealand : 13% (2/15) Australia : 7% (1/15),Scotland : 70% (16/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Australia : 9% (2/23) England : 4% (1/23),Glasgow,903 kg (112.88 kg),26 ans,26 ans,200 cm,Italy : 47% (7/15) England : 20% (3/15) Tonga : 13% (2/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) Australia : 7% (1/15),Italy : 52% (12/23) England : 17% (4/23) Tonga : 9% (2/23) New Zealand : 9% (2/23) Fiji : 4% (1/23) Australia : 4% (1/23) Nigeria : 4% (1/23),Benetton," Date :  Friday, September 27, 2024 Kick Off : 20:35 Venue : Scotstoun Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",6.0,81_46_16_50_5_63,1.0,32,0.0,,1.0,43,6.0,6_17_47_51_64_83,1.0,33,42 - 10
