match_date_dt,match_date_time_dt,season,home_team,away_team,home_score,away_score,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_pack_weight_kg,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_pack_weight_kg
2021-09-24,2021-09-24 18:35:00,21/22,ZEBRE,LIONS,26,38,4.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,26,26,198,924,27,25,199,919
2021-09-24,2021-09-24 20:35:00,21/22,CARDIFF,CONNACHT,33,21,5.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,28,27,203,929,26,26,198,892
2021-09-24,2021-09-24 20:35:00,21/22,ULSTER,GLASGOW,35,29,5.0,4.0,0.0,1.0,4.0,2.0,1.0,1.0,29,26,201,906,28,26,205,912
2021-09-25,2021-09-25 14:00:00,21/22,BENETTON,STORMERS,22,18,3.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,24,26,200,909,27,25,200,903
2021-09-25,2021-09-25 18:15:00,21/22,LEINSTER,BULLS,31,3,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,26,27,201,920,27,26,203,934
2021-09-25,2021-09-25 18:15:00,21/22,EDINBURGH,SCARLETS,26,22,4.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,28,26,200,950,29,27,203,906
2021-09-25,2021-09-25 20:35:00,21/22,MUNSTER,SHARKS,42,17,6.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,28,25,203,907,26,24,201,946
2021-09-26,2021-09-26 15:00:00,21/22,DRAGONS,OSPREYS,23,27,2.0,2.0,2.0,0.0,3.0,3.0,2.0,0.0,26,27,203,910,26,27,198,909
2021-10-01,2021-10-01 20:35:00,21/22,SCARLETS,LIONS,36,13,4.0,2.0,4.0,0.0,1.0,1.0,2.0,0.0,27,27,203,923,27,25,199,919
2021-10-01,2021-10-01 20:35:00,21/22,CONNACHT,BULLS,34,7,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,27,27,198,916,27,27,203,929
2021-10-02,2021-10-02 14:00:00,21/22,BENETTON,EDINBURGH,28,27,3.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,25,26,200,893,27,27,198,912
2021-10-02,2021-10-02 16:05:00,21/22,GLASGOW,SHARKS,35,24,5.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0,28,25,205,927,25,27,201,965
2021-10-02,2021-10-02 18:15:00,21/22,ZEBRE,ULSTER,3,36,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,26,26,198,936,27,26,197,911
2021-10-02,2021-10-02 20:35:00,21/22,OSPREYS,CARDIFF,18,14,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,26,27,198,909,27,28,203,938
2021-10-02,2021-10-02 20:35:00,21/22,MUNSTER,STORMERS,34,18,5.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,27,26,203,901,27,25,201,915
2021-10-03,2021-10-03 15:00:00,21/22,DRAGONS,LEINSTER,6,7,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,26,26,203,908,27,26,201,924
2021-10-08,2021-10-08 20:35:00,21/22,ULSTER,BENETTON,28,8,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,28,25,201,909,27,26,200,899
2021-10-08,2021-10-08 20:35:00,21/22,OSPREYS,SHARKS,13,27,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,27,28,203,898,26,26,201,918
2021-10-09,2021-10-09 14:00:00,21/22,LEINSTER,ZEBRE,43,7,7.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,29,26,211,910,24,25,202,893
2021-10-09,2021-10-09 16:05:00,21/22,GLASGOW,LIONS,13,9,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,28,25,205,939,28,24,199,908
2021-10-09,2021-10-09 18:15:00,21/22,CONNACHT,DRAGONS,22,35,2.0,0.0,4.0,0.0,4.0,3.0,3.0,0.0,26,26,198,896,27,26,203,904
2021-10-09,2021-10-09 18:15:00,21/22,EDINBURGH,STORMERS,20,20,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,27,26,200,941,27,25,200,906
2021-10-09,2021-10-09 20:35:00,21/22,CARDIFF,BULLS,19,29,1.0,1.0,4.0,0.0,2.0,2.0,5.0,0.0,27,28,203,926,28,26,201,933
2021-10-10,2021-10-10 15:00:00,21/22,SCARLETS,MUNSTER,13,43,1.0,1.0,2.0,0.0,6.0,5.0,1.0,0.0,30,27,198,897,26,25,206,886
2021-10-15,2021-10-15 20:35:00,21/22,ULSTER,LIONS,26,10,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,28,25,201,909,24,25,202,925
2021-10-15,2021-10-15 20:35:00,21/22,DRAGONS,STORMERS,10,24,1.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,26,26,203,904,27,26,200,915
2021-10-16,2021-10-16 14:00:00,21/22,ZEBRE,GLASGOW,6,17,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,25,26,202,919,28,26,205,934
2021-10-16,2021-10-16 16:00:00,21/22,BENETTON,OSPREYS,26,29,4.0,3.0,0.0,0.0,4.0,3.0,1.0,0.0,25,27,200,897,31,26,198,928
2021-10-16,2021-10-16 18:15:00,21/22,EDINBURGH,BULLS,17,10,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,27,27,200,950,27,27,200,916
2021-10-16,2021-10-16 18:15:00,21/22,LEINSTER,SCARLETS,50,15,7.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,26,27,201,905,30,26,198,909
2021-10-16,2021-10-16 20:35:00,21/22,CARDIFF,SHARKS,23,17,2.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,27,28,203,927,25,28,201,919
2021-10-16,2021-10-16 20:35:00,21/22,MUNSTER,CONNACHT,20,18,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,30,27,203,905,26,27,201,894
2021-10-22,2021-10-22 20:35:00,21/22,GLASGOW,LEINSTER,15,31,2.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,28,26,205,922,27,27,198,896
2021-10-22,2021-10-22 20:35:00,21/22,SCARLETS,BENETTON,34,28,4.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,29,25,198,900,27,26,200,899
2021-10-23,2021-10-23 14:00:00,21/22,ZEBRE,EDINBURGH,10,27,1.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,26,25,198,912,27,26,203,938
2021-10-23,2021-10-23 18:15:00,21/22,CARDIFF,DRAGONS,31,29,3.0,1.0,4.0,1.0,4.0,3.0,1.0,0.0,28,27,201,930,26,26,203,912
2021-10-23,2021-10-23 18:15:00,21/22,CONNACHT,ULSTER,36,11,5.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,26,26,201,895,27,25,198,911
2021-10-23,2021-10-23 20:35:00,21/22,OSPREYS,MUNSTER,18,10,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,28,26,198,897,28,25,203,919
2021-11-26,2021-11-26 20:35:00,21/22,CONNACHT,OSPREYS,46,18,7.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,27,25,201,888,28,26,198,897
2021-11-27,2021-11-27 14:00:00,21/22,BENETTON,GLASGOW,19,18,2.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,27,26,200,894,28,25,205,920
2021-11-27,2021-11-27 18:15:00,21/22,DRAGONS,EDINBURGH,14,30,2.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,25,25,203,907,26,25,200,923
2021-11-27,2021-11-27 21:00:00,21/22,LEINSTER,ULSTER,10,20,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,29,26,211,906,28,25,201,907
2021-12-03,2021-12-03 18:00:00,21/22,SHARKS,BULLS,30,16,2.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,25,29,201,925,27,26,203,937
2021-12-03,2021-12-03 20:35:00,21/22,EDINBURGH,BENETTON,24,10,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,28,26,198,948,27,25,198,894
