Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
935 kg (116.88 kg),26 ans,27 ans,203 cm,England : 53% (8/15) Ireland : 13% (2/15) Australia : 7% (1/15) Scotland : 7% (1/15) South Africa : 7% (1/15) Congo : 7% (1/15) Tonga : 7% (1/15),England : 48% (11/23) Ireland : 13% (3/23) South Africa : 9% (2/23) Australia : 4% (1/23) Scotland : 4% (1/23) Congo : 4% (1/23) Tonga : 4% (1/23) Namibia : 4% (1/23) Zimbabwe : 4% (1/23) Argentina : 4% (1/23),Exeter,939 kg (117.38 kg),28 ans,30 ans,201 cm,England : 53% (8/15) Ireland : 7% (1/15) Zimbabwe : 7% (1/15) Wales : 7% (1/15) South Africa : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15) Scotland : 7% (1/15),England : 43% (10/23) Wales : 9% (2/23) South Africa : 9% (2/23) Scotland : 9% (2/23) Fiji : 9% (2/23) Ireland : 4% (1/23) Zimbabwe : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) United-States : 4% (1/23),Leicester," Date :  Saturday, September 10, 2022 Kick Off : 16:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,37_80,2,58_48,1,2,2,12_35,2,39_81,2,49_60,24 - 20
915 kg (114.38 kg),27 ans,27 ans,207 cm,England : 53% (8/15) Australia : 13% (2/15) Argentina : 7% (1/15) Zimbabwe : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 48% (11/23) Argentina : 9% (2/23) Australia : 9% (2/23) Ireland : 9% (2/23) Italy : 9% (2/23) Zimbabwe : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),London Irish,910 kg (113.75 kg),27 ans,27 ans,203 cm,England : 67% (10/15) Russia : 7% (1/15) New Zealand : 7% (1/15) Scotland : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 70% (16/23) Scotland : 9% (2/23) Russia : 4% (1/23) New Zealand : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Wales : 4% (1/23),Worcester," Date :  match cancelled (Worcester suspension) Venue : Gtech Community Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,15_24_30_57_69,2,75_65,0,,0,,5,16_26_48_70_83,2,65_76,cancelled
933 kg (116.63 kg),29 ans,28 ans,204 cm,England : 80% (12/15) Ireland : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 70% (16/23) South Africa : 9% (2/23) Fiji : 9% (2/23) Ireland : 4% (1/23) Australia : 4% (1/23) Samoa : 4% (1/23),Newcastle,919 kg (114.88 kg),26 ans,25 ans,200 cm,England : 67% (10/15) South Africa : 20% (3/15) New Zealand : 7% (1/15) Italy : 7% (1/15),England : 70% (16/23) South Africa : 17% (4/23) New Zealand : 4% (1/23) Italy : 4% (1/23) Ireland : 4% (1/23),Harlequins," Date :  Saturday, September 10, 2022 Kick Off : 16:00 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,12_58_39_30_65,5,43_24_74_52_19,0,,0,,3,41_60_66,5,20_25_44_53_75,31 - 40
916 kg (114.50 kg),29 ans,28 ans,201 cm,England : 53% (8/15) New Zealand : 20% (3/15) Ireland : 7% (1/15) Scotland : 7% (1/15) Wales : 7% (1/15) Australia : 7% (1/15),England : 61% (14/23) New Zealand : 13% (3/23) Ireland : 9% (2/23) Wales : 9% (2/23) Scotland : 4% (1/23) Australia : 4% (1/23),Bristol,916 kg (114.50 kg),30 ans,26 ans,201 cm,England : 73% (11/15) South Africa : 13% (2/15) Namibia : 7% (1/15) Scotland : 7% (1/15),England : 70% (16/23) South Africa : 17% (4/23) Namibia : 4% (1/23) Scotland : 4% (1/23) Ireland : 4% (1/23),Bath," Date :  Saturday, September 10, 2022 Kick Off : 18:30 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,0_72_26_35_78,2,54_14,0,,5,8_20_39_66_76,3,1_73_79,2,15_55,31 - 29
914 kg (114.25 kg),27 ans,28 ans,198 cm,England : 73% (11/15) Scotland : 13% (2/15) South Africa : 7% (1/15) Wales : 7% (1/15),England : 65% (15/23) Scotland : 9% (2/23) South Africa : 4% (1/23) Wales : 4% (1/23) Argentina : 4% (1/23) Georgia : 4% (1/23) Fiji : 4% (1/23) Australia : 4% (1/23),Gloucester,945 kg (118.13 kg),29 ans,27 ans,203 cm,England : 60% (9/15) Scotland : 13% (2/15) Ireland : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) Italy : 7% (1/15),England : 74% (17/23) Scotland : 9% (2/23) Ireland : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23) Italy : 4% (1/23),Wasps," Date :  match cancelled (Wasps suspension) Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,72_45_42,3,25_19_29,1,59,0,,1,46,3,20_26_30,cancelled
915 kg (114.38 kg),28 ans,28 ans,199 cm,England : 47% (7/15) South Africa : 40% (6/15) Scotland : 7% (1/15) Samoa : 7% (1/15),England : 57% (13/23) South Africa : 35% (8/23) Scotland : 4% (1/23) Samoa : 4% (1/23),Sale,912 kg (114.00 kg),26 ans,25 ans,207 cm,England : 67% (10/15) South Africa : 13% (2/15) Samoa : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15),England : 74% (17/23) South Africa : 9% (2/23) Samoa : 4% (1/23) Australia : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Northampton," Date :  Sunday, September 11, 2022 Kick Off : 16:00 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,11_61_57_53,3,69_66_80,1,36,1,3,3,12_55_58,2,66_71,29 - 22
937 kg (117.13 kg),26 ans,26 ans,207 cm,England : 73% (11/15) Fiji : 7% (1/15) Samoa : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 70% (16/23) Samoa : 9% (2/23) South Africa : 9% (2/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Northampton,920 kg (115.00 kg),27 ans,25 ans,207 cm,England : 53% (8/15) Australia : 13% (2/15) Argentina : 7% (1/15) Zimbabwe : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 48% (11/23) Australia : 9% (2/23) Ireland : 9% (2/23) Italy : 9% (2/23) Argentina : 4% (1/23) Zimbabwe : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) Fiji : 4% (1/23),London Irish," Date :  Saturday, September 17, 2022 Kick Off : 15:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,8_54_51_71,1,80,4,37_60_68_76,1,42,3,9_55_72,1,80,38 - 22
942 kg (117.75 kg),28 ans,26 ans,203 cm,England : 73% (11/15) Scotland : 13% (2/15) Ireland : 7% (1/15) South Africa : 7% (1/15),England : 78% (18/23) Scotland : 9% (2/23) South Africa : 9% (2/23) Ireland : 4% (1/23),Wasps,929 kg (116.13 kg),28 ans,28 ans,201 cm,England : 60% (9/15) New Zealand : 20% (3/15) Scotland : 7% (1/15) Wales : 7% (1/15) Australia : 7% (1/15),England : 61% (14/23) New Zealand : 13% (3/23) Wales : 9% (2/23) Ireland : 9% (2/23) Scotland : 4% (1/23) Australia : 4% (1/23),Bristol," Date :  match cancelled (Wasps suspension) Venue : Coventry Building Society Arena Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1,5,2,59_19,1,44,2,9_52,0,,2,20_60,cancelled
957 kg (119.63 kg),28 ans,29 ans,200 cm,England : 67% (10/15) Ireland : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) Scotland : 7% (1/15),England : 52% (12/23) Fiji : 13% (3/23) South Africa : 9% (2/23) Wales : 9% (2/23) Ireland : 4% (1/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) United-States : 4% (1/23),Leicester,934 kg (116.75 kg),29 ans,27 ans,204 cm,England : 80% (12/15) Ireland : 7% (1/15) Australia : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) Fiji : 9% (2/23) South Africa : 9% (2/23) Ireland : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23),Newcastle," Date :  Saturday, September 17, 2022 Kick Off : 16:00 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,2_6_36_38_72,2,31_17,1,70,0,,4,3_37_39_73,3,18_32_47,36 - 21
899 kg (112.38 kg),26 ans,25 ans,200 cm,England : 73% (11/15) South Africa : 13% (2/15) New Zealand : 7% (1/15) Italy : 7% (1/15),England : 65% (15/23) South Africa : 17% (4/23) Ireland : 9% (2/23) New Zealand : 4% (1/23) Italy : 4% (1/23),Harlequins,935 kg (116.88 kg),26 ans,28 ans,198 cm,England : 73% (11/15) Fiji : 7% (1/15) Samoa : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 65% (15/23) New Zealand : 9% (2/23) Fiji : 4% (1/23) Samoa : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Wales : 4% (1/23) Scotland : 4% (1/23),Saracens," Date :  Saturday, September 17, 2022 Kick Off : 16:00 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,2_7_35,4,61_27_45_20,2,14_63,2,56_65,3,4_9_36,2,28_61,27 - 30
