Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home JIFF players  ( read JIFF study in Top 14 ),Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away JIFF players  ( read JIFF study in Top 14 ),Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
889 kg (111.13 kg),26 ans,25 ans,196 cm,France : 73% (11/15) Portugal : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) Scotland : 7% (1/15),France : 70% (16/23) Fiji : 9% (2/23) Portugal : 4% (1/23) South Africa : 4% (1/23) Scotland : 4% (1/23) Namibia : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 14 / 15 (93 %)  PRO NON-JIFF PLAYER : 1 / 15 (7 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 20 / 23 (87%)  PRO NON-JIFF PLAYER : 2 / 23 (9 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Racing 92,912 kg (114.00 kg),26 ans,27 ans,198 cm,France : 73% (11/15) Australia : 13% (2/15) Uruguay : 7% (1/15) Fiji : 7% (1/15),France : 74% (17/23) Australia : 9% (2/23) Fiji : 9% (2/23) Uruguay : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres," Date :  Saturday, September 3, 2022 Kick Off : 15:00 Venue : Paris La Défense Arena Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,33_26_77,1,56,2,3_66,4,9_17_23_38,2,33_78,1,57,25 - 19
941 kg (117.63 kg),27 ans,26 ans,199 cm,France : 40% (6/15) South Africa : 13% (2/15) Argentina : 13% (2/15) Fiji : 13% (2/15) Georgia : 7% (1/15) New Zealand : 7% (1/15) Ireland : 7% (1/15),France : 39% (9/23) Fiji : 13% (3/23) Georgia : 9% (2/23) South Africa : 9% (2/23) Argentina : 9% (2/23) Ireland : 9% (2/23) New Zealand : 4% (1/23) Netherlands : 4% (1/23) Italy : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 8 / 15 (53 %)  PRO NON-JIFF PLAYER : 7 / 15 (47 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Brive,948 kg (118.50 kg),27 ans,26 ans,200 cm,France : 60% (9/15) Georgia : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15),France : 61% (14/23) New Zealand : 13% (3/23) Georgia : 9% (2/23) England : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) Fiji : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 15 / 23 (65%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Lyon," Date :  Saturday, September 3, 2022 Kick Off : 17:00 Venue : Stadium Municipal Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2,7_58,4,52_65_21_34,2,32_37,1,13,2,8_59,4,22_35_53_66,27 - 31
936 kg (117.00 kg),29 ans,27 ans,202 cm,France : 60% (9/15) Fiji : 13% (2/15) Georgia : 7% (1/15) Samoa : 7% (1/15) South Africa : 7% (1/15) Italy : 7% (1/15),France : 65% (15/23) Fiji : 9% (2/23) Georgia : 4% (1/23) Samoa : 4% (1/23) South Africa : 4% (1/23) Italy : 4% (1/23) Cameroon : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulon,922 kg (115.25 kg),28 ans,26 ans,205 cm,France : 67% (10/15) Fiji : 13% (2/15) Argentina : 7% (1/15) Uruguay : 7% (1/15) South Africa : 7% (1/15),France : 65% (15/23) Fiji : 9% (2/23) Argentina : 4% (1/23) Uruguay : 4% (1/23) South Africa : 4% (1/23) Georgia : 4% (1/23) New Zealand : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bayonne," Date :  Saturday, September 3, 2022 Kick Off : 17:00 Venue : Stade Mayol Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",5,48_61_17_63_54,3,35_43_3,3,11_15_22,1,14,3,55_62_65,2,36_44,40 - 25
923 kg (115.38 kg),27 ans,26 ans,205 cm,France : 60% (9/15) Tonga : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15) Georgia : 7% (1/15) England : 7% (1/15) Fiji : 7% (1/15),France : 61% (14/23) Georgia : 9% (2/23) Fiji : 9% (2/23) Tonga : 4% (1/23) Australia : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 20 / 23 (87%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Pau,907 kg (113.38 kg),32 ans,28 ans,202 cm,France : 53% (8/15) Samoa : 13% (2/15) Tonga : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15) Australia : 7% (1/15) Fiji : 7% (1/15),France : 57% (13/23) Samoa : 13% (3/23) Tonga : 9% (2/23) Australia : 9% (2/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Perpignan," Date :  Saturday, September 3, 2022 Kick Off : 17:00 Venue : Stade du Hameau Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1,74,2,48_53,3,28_53_79,0,,1,75,2,49_54,16 - 14
912 kg (114.00 kg),27 ans,26 ans,199 cm,France : 73% (11/15) Georgia : 7% (1/15) Germany : 7% (1/15) Fiji : 7% (1/15) England : 7% (1/15),France : 70% (16/23) South Africa : 9% (2/23) Georgia : 4% (1/23) Germany : 4% (1/23) Fiji : 4% (1/23) England : 4% (1/23) Australia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Paris,923 kg (115.38 kg),27 ans,26 ans,203 cm,France : 67% (10/15) Moldova : 7% (1/15) New Zealand : 7% (1/15) Spain : 7% (1/15) Fiji : 7% (1/15) Australia : 7% (1/15),France : 74% (17/23) Australia : 9% (2/23) Moldova : 4% (1/23) New Zealand : 4% (1/23) Spain : 4% (1/23) Fiji : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 20 / 23 (87%)  PRO NON-JIFF PLAYER : 2 / 23 (9 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Clermont," Date :  Saturday, September 3, 2022 Kick Off : 17:00 Venue : Stade Jean Bouin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2,44_27,2,56_62,4,2_50_72_77,2,19_37,1,46,1,58,24 - 18
911 kg (113.88 kg),28 ans,27 ans,200 cm,France : 80% (12/15) South Africa : 13% (2/15) New Zealand : 7% (1/15),France : 78% (18/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Ireland : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),La Rochelle,907 kg (113.38 kg),27 ans,26 ans,202 cm,France : 73% (11/15) South Africa : 7% (1/15) England : 7% (1/15) Italy : 7% (1/15) New Zealand : 7% (1/15),France : 70% (16/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) England : 4% (1/23) Italy : 4% (1/23) Georgia : 4% (1/23) United-States : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Montpellier," Date :  Saturday, September 3, 2022 Kick Off : 21:05 Venue : Stade Marcel Deflandre Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1,56,1,66,4,3_9_14_27,5,21_37_40_42_59,1,57,1,67,26 - 22
926 kg (115.75 kg),30 ans,27 ans,202 cm,France : 73% (11/15) Australia : 13% (2/15) Moldova : 7% (1/15) Congo : 7% (1/15),France : 70% (16/23) Australia : 9% (2/23) Moldova : 4% (1/23) Congo : 4% (1/23) Georgia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bordeaux,929 kg (116.13 kg),28 ans,25 ans,208 cm,France : 80% (12/15) New Zealand : 7% (1/15) Ireland : 7% (1/15) Australia : 7% (1/15),France : 83% (19/23) Australia : 9% (2/23) New Zealand : 4% (1/23) Ireland : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 21 / 23 (91%)  PRO NON-JIFF PLAYER : 2 / 23 (9 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulouse," Date :  Sunday, September 4, 2022 Kick Off : 21:05 Venue : Jacques Chaban-Delmas Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,28_34_22,2,60_56,2,18_61,4,3_14_30_67,2,29_35,2,57_61,25 - 26
938 kg (117.25 kg),27 ans,27 ans,200 cm,France : 53% (8/15) Fiji : 13% (2/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Australia : 7% (1/15) Georgia : 7% (1/15),France : 61% (14/23) New Zealand : 13% (3/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23) Georgia : 4% (1/23) England : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Lyon,911 kg (113.88 kg),28 ans,27 ans,200 cm,France : 80% (12/15) South Africa : 13% (2/15) New Zealand : 7% (1/15),France : 78% (18/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Ireland : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),La Rochelle," Date :  Saturday, September 10, 2022 Kick Off : 15:00 Venue : Matmut Stadium Gerland Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,75_78_57,2,11_61,0,,3,29_43_73,3,58_76_78,2,12_62,21 - 23
944 kg (118.00 kg),27 ans,28 ans,205 cm,France : 60% (9/15) Fiji : 13% (2/15) Argentina : 7% (1/15) Tonga : 7% (1/15) Uruguay : 7% (1/15) South Africa : 7% (1/15),France : 61% (14/23) Fiji : 9% (2/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) Tonga : 4% (1/23) Uruguay : 4% (1/23) South Africa : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bayonne,884 kg (110.50 kg),28 ans,24 ans,196 cm,France : 67% (10/15) Fiji : 13% (2/15) Georgia : 7% (1/15) South Africa : 7% (1/15) Scotland : 7% (1/15),France : 65% (15/23) Fiji : 13% (3/23) Georgia : 9% (2/23) South Africa : 4% (1/23) Scotland : 4% (1/23) Namibia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 1 / 15 (7 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 19 / 23 (83%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Racing 92," Date :  Saturday, September 10, 2022 Kick Off : 17:00 Venue : Stade Jean Dauger Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,5_53_56,3,39_34_79,4,11_62_77_77,2,9_13,2,54_57,2,34_79,31 - 25
924 kg (115.50 kg),27 ans,26 ans,203 cm,France : 53% (8/15) Australia : 13% (2/15) Moldova : 7% (1/15) Samoa : 7% (1/15) Fiji : 7% (1/15) New Zealand : 7% (1/15) Tonga : 7% (1/15),France : 61% (14/23) Australia : 9% (2/23) Moldova : 4% (1/23) Samoa : 4% (1/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) Tonga : 4% (1/23) Spain : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 2 / 23 (9 %),Clermont,919 kg (114.88 kg),29 ans,25 ans,202 cm,France : 60% (9/15) Australia : 13% (2/15) Tonga : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15) Fiji : 7% (1/15),France : 57% (13/23) Australia : 13% (3/23) Georgia : 9% (2/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23) Fiji : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Pau," Date :  Saturday, September 10, 2022 Kick Off : 17:00 Venue : Parc des Sports Marcel Michelin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",4,47_26_34_76,1,52,3,3_11_63,4,16_20_40_62,2,49_76,0,,33 - 24
